id|fuente|fecha_creacion|id_autor|sensible|idioma|cant_retweets|cant_respuestas|cant_likes
1466920178499866637|Twitter for Android|2021-12-03 23:59:59+00:00|184489792|False|es|4|0|0
1466920177942122499|Twitter Web App|2021-12-03 23:59:59+00:00|309980559|False|es|29|0|0
1466920176654467073|Twitter for Android|2021-12-03 23:59:58+00:00|213441212|False|es|0|0|5
1466920169964556288|Twitter Web App|2021-12-03 23:59:57+00:00|2969950804|False|es|3|0|0
1466920169293238273|Twitter for Android|2021-12-03 23:59:57+00:00|977375364585582593|False|es|1899|0|0
1466920169121402881|Twitter for Android|2021-12-03 23:59:57+00:00|177635570|False|es|1008|0|0
1466920163027169280|Twitter for Android|2021-12-03 23:59:55+00:00|1398491055780204544|False|es|0|1|0
1466920161697402880|Twitter for Android|2021-12-03 23:59:55+00:00|3256874878|False|es|131|0|0
1466920161080868865|Twitter for Android|2021-12-03 23:59:55+00:00|1187797511278333954|False|es|0|0|0
1466920160128864257|Twitter for Android|2021-12-03 23:59:54+00:00|974354813432614913|False|es|2|0|0
1466920147541708803|Twitter for Android|2021-12-03 23:59:51+00:00|718237838|False|es|1|1|11
1466920132052140036|Twitter for iPhone|2021-12-03 23:59:48+00:00|847873130148319232|False|es|4|0|0
1466920115899977737|Twitter Web App|2021-12-03 23:59:44+00:00|1385325911269167104|False|es|0|0|4
1466920106567639048|Twitter for Android|2021-12-03 23:59:42+00:00|563786957|False|es|19|0|0
1466920101043707905|Twitter for iPhone|2021-12-03 23:59:40+00:00|2783066254|False|es|2|0|0
1466920097352544257|Twitter for iPhone|2021-12-03 23:59:39+00:00|1129583184|False|es|1|1|15
1466920095691640840|TweetDeck|2021-12-03 23:59:39+00:00|148372339|False|es|21|9|94
1466920093925916675|Twitter Web App|2021-12-03 23:59:39+00:00|1166475366342569985|False|es|996|0|0
1466920093812924417|Twitter for Android|2021-12-03 23:59:39+00:00|920225083|False|es|23|0|0
1466920092415889410|Twitter for Android|2021-12-03 23:59:38+00:00|424533842|False|es|0|0|2
1466920089438072832|Twitter for iPhone|2021-12-03 23:59:38+00:00|353867508|False|es|1486|0|0
1466920084664987658|Twitter for iPhone|2021-12-03 23:59:36+00:00|944732210|False|es|4|0|0
1466920083750486018|Twitter for Android|2021-12-03 23:59:36+00:00|1400101552950583299|False|es|1899|0|0
1466920083645558786|dlvr.it|2021-12-03 23:59:36+00:00|210805091|False|es|0|0|0
1466920082446028803|Twitter for Android|2021-12-03 23:59:36+00:00|796755859644805120|False|es|845|0|0
1466920072169988097|Twitter for Android|2021-12-03 23:59:33+00:00|1722587449|False|es|187|0|0
1466920070504984585|Twitter for Android|2021-12-03 23:59:33+00:00|1455676645831020547|False|es|0|1|0
1466920061688557571|Twitter for Android|2021-12-03 23:59:31+00:00|847263497796767745|False|es|36|0|0
1466920057511063553|Twitter Web App|2021-12-03 23:59:30+00:00|6979092|False|es|4|0|11
1466920046958026758|Twitter for Android|2021-12-03 23:59:27+00:00|763779904328597504|False|es|1899|0|0
1466920046492626945|Twitter Web App|2021-12-03 23:59:27+00:00|266148221|False|es|1|0|0
1466920040834510850|Twitter for iPhone|2021-12-03 23:59:26+00:00|592233937|True|es|2|0|0
1466920038238388227|Twitter for iPhone|2021-12-03 23:59:25+00:00|96407490|False|es|326|0|0
1466920034291355648|Twitter for Android|2021-12-03 23:59:24+00:00|2965013885|False|es|0|0|2
1466920031753838601|Zapier.com|2021-12-03 23:59:24+00:00|37831835|False|es|6|2|23
1466920031015473154|Twitter for iPhone|2021-12-03 23:59:24+00:00|350484599|False|es|259|0|0
1466920027106516996|Twitter for Android|2021-12-03 23:59:23+00:00|1979436684|False|es|339|0|0
1466920023176499204|Twitter Web App|2021-12-03 23:59:22+00:00|963470654157873152|False|es|26|0|0
1466920019959455747|Twitter for Android|2021-12-03 23:59:21+00:00|250329152|False|es|13|0|0
1466920018835349506|Twitter for Android|2021-12-03 23:59:21+00:00|935171180|False|es|40|0|0
1466920017732288514|Twitter for Android|2021-12-03 23:59:20+00:00|1452420830009249793|False|pt|250|0|0
1466920011533008901|Twitter Web App|2021-12-03 23:59:19+00:00|1185727598397218816|False|es|0|2|1
1466920009683320835|Twitter for iPhone|2021-12-03 23:59:19+00:00|1115799090|False|es|108|0|0
1466920005367382018|Twitter for Android|2021-12-03 23:59:17+00:00|1148273530326409216|False|es|0|0|0
1466920002276184067|Twitter for Android|2021-12-03 23:59:17+00:00|1464979208699056134|False|es|0|0|1
1466919997058519046|Twitter Web App|2021-12-03 23:59:16+00:00|403323624|False|es|0|0|0
1466919989198393354|Twitter for Android|2021-12-03 23:59:14+00:00|1148273530326409216|False|es|0|0|0
1466919985314512904|Twitter Web App|2021-12-03 23:59:13+00:00|963470654157873152|False|es|3|0|0
1466919976103817221|Twitter Web App|2021-12-03 23:59:11+00:00|1466821035597127681|False|es|0|0|0
1466919974946103297|Twitter for Android|2021-12-03 23:59:10+00:00|1148273530326409216|False|es|0|0|0
1466919966226137094|Twitter for Android|2021-12-03 23:59:08+00:00|1179976090321854464|False|es|0|0|0
1466919955463614468|Twitter for Android|2021-12-03 23:59:06+00:00|1148273530326409216|False|es|0|0|0
1466919942041870336|Twitter for Android|2021-12-03 23:59:02+00:00|1148273530326409216|False|es|0|0|0
1466919941345472512|Twitter for Android|2021-12-03 23:59:02+00:00|122489764|False|es|1899|0|0
1466919932629852160|Twitter for Android|2021-12-03 23:59:00+00:00|327247691|False|es|0|1|1
1466919930842996743|TweetDeck|2021-12-03 23:59:00+00:00|1282819516192284672|False|es|0|0|1
1466919930293460996|Twitter for iPhone|2021-12-03 23:59:00+00:00|123934295|False|es|1486|0|0
1466919927298904069|Twitter for Android|2021-12-03 23:58:59+00:00|1390839705667842049|False|es|0|0|4
1466919924517982210|Twitter for Android|2021-12-03 23:58:58+00:00|1439292791205531657|False|es|0|2|1
1466919922223792133|Twitter for Android|2021-12-03 23:58:58+00:00|2994324237|False|es|15|0|0
1466919919660900354|Twitter for Android|2021-12-03 23:58:57+00:00|1210228619986911235|False|es|266|0|0
1466919911314399233|Twitter for Android|2021-12-03 23:58:55+00:00|1148273530326409216|False|es|0|0|0
1466919908214591488|Twitter for Android|2021-12-03 23:58:54+00:00|830316656773779456|False|es|0|0|0
1466919906759385089|Twitter Web App|2021-12-03 23:58:54+00:00|744338334202355713|False|es|1899|0|0
1466919903143804928|Twitter for Android|2021-12-03 23:58:53+00:00|1430595278105677825|False|es|0|1|4
1466919898362576897|Twitter for Android|2021-12-03 23:58:52+00:00|1148273530326409216|False|es|0|0|0
1466919886215602192|Twitter for iPhone|2021-12-03 23:58:49+00:00|348175064|False|es|0|4|1
1466919881325035532|Twitter for iPhone|2021-12-03 23:58:48+00:00|810769256015155200|False|es|1|1|0
1466919879764754432|Twitter for Android|2021-12-03 23:58:48+00:00|1148273530326409216|False|es|0|0|0
1466919878443548675|Twitter for iPhone|2021-12-03 23:58:47+00:00|614609006|False|es|1486|0|0
1466919877197901824|Besocy_Oficial|2021-12-03 23:58:47+00:00|843963644157317121|False|es|0|0|1
1466919870285504512|Twitter for Android|2021-12-03 23:58:45+00:00|4187908043|False|es|0|2|4
1466919866074644485|Twitter for Android|2021-12-03 23:58:44+00:00|1148273530326409216|False|es|0|0|0
1466919855924383744|Twitter for Android|2021-12-03 23:58:42+00:00|713486903|False|es|0|0|0
1466919851717451777|Twitter for Android|2021-12-03 23:58:41+00:00|1148273530326409216|False|es|0|0|0
1466919846222995456|Twitter for Android|2021-12-03 23:58:40+00:00|882392374827266049|False|es|1899|0|0
1466919844318793731|Twitter for iPhone|2021-12-03 23:58:39+00:00|960296670|False|es|0|0|1
1466919838245343233|Twitter for Android|2021-12-03 23:58:38+00:00|1148273530326409216|False|es|0|0|0
1466919836936769539|Twitter for Android|2021-12-03 23:58:37+00:00|1867574384|False|es|1899|0|0
1466919836378808320|Twitter for Android|2021-12-03 23:58:37+00:00|1123028807332581376|False|es|0|0|1
1466919833795190785|Twitter for iPhone|2021-12-03 23:58:37+00:00|35011820|True|es|28|0|0
1466919831513579528|Twitter for iPhone|2021-12-03 23:58:36+00:00|1099821417842003973|False|es|316|0|0
1466919828619472896|Twitter Web App|2021-12-03 23:58:35+00:00|1406495459221413888|False|es|4054|0|0
1466919827461840901|Twitter Web App|2021-12-03 23:58:35+00:00|279759730|False|es|1|0|0
1466919827302350848|Twitter Web App|2021-12-03 23:58:35+00:00|1463217951104929792|False|es|950|0|0
1466919825532506117|Twitter for Android|2021-12-03 23:58:35+00:00|1148273530326409216|False|es|0|0|0
1466919823364038658|Twitter for Android|2021-12-03 23:58:34+00:00|1356428425741934593|False|es|0|2|1
1466919822093029377|Twitter for Android|2021-12-03 23:58:34+00:00|117293743|False|es|201|0|0
1466919816837619712|Twitter for Android|2021-12-03 23:58:33+00:00|109694907|False|es|1181|0|0
1466919811066257414|Twitter for Android|2021-12-03 23:58:31+00:00|1148273530326409216|False|es|0|0|0
1466919797904617486|Twitter for Android|2021-12-03 23:58:28+00:00|1148273530326409216|False|es|0|0|0
1466919796642091010|Twitter Web App|2021-12-03 23:58:28+00:00|244263410|False|es|771|0|0
1466919793689247745|Twitter for Android|2021-12-03 23:58:27+00:00|44763162|False|es|0|0|1
1466919785116184581|Twitter for Android|2021-12-03 23:58:25+00:00|3056315609|False|es|1899|0|0
1466919783702663170|Twitter for Android|2021-12-03 23:58:25+00:00|1148273530326409216|False|es|0|0|0
1466919779357249538|Twitter for Android|2021-12-03 23:58:24+00:00|195917927|False|es|165|0|0
1466919776631013381|Twitter for Android|2021-12-03 23:58:23+00:00|186595316|False|es|1008|0|0
1466919773757972481|Twitter for Android|2021-12-03 23:58:22+00:00|1346221793183457281|False|es|64|0|0
1466919769928568834|Twitter for Android|2021-12-03 23:58:21+00:00|1148273530326409216|False|es|0|0|0
1466919767059709952|Twitter Web App|2021-12-03 23:58:21+00:00|3279221795|False|es|297|0|0
1466919765566496775|Twitter for Android|2021-12-03 23:58:20+00:00|818833488090722305|False|es|0|0|1
